classGrade,stage,subject,subjectCode,topic,description,learningObjectives,month,bloomLevels
XII,SECONDARY,Physics,PHY,Electromagnetic Induction,"Faraday's laws","Students understand electromagnetic induction; Students study induced EMF; Students learn Lenz's law; Students understand AC and DC generators",November-December,"APPLY,ANALYZE"
XII,SECONDARY,Physics,PHY,Alternating Currents,"AC circuits","Students understand AC voltage and current; Students study impedance; Students learn power factor; Students solve AC circuit problems",December-January,"APPLY,ANALYZE"
XII,SECONDARY,Physics,PHY,Electromagnetic Waves,"Wave properties","Students understand EM wave properties; Students study spectrum; Students learn wave equations; Students apply to communications",January-February,"APPLY,ANALYZE"
XII,SECONDARY,Physics,PHY,Ray Optics,"Geometrical optics","Students study reflection and refraction; Students understand lenses and mirrors; Students learn optical instruments; Students solve ray optics problems",February-March,"APPLY,ANALYZE"
XII,SECONDARY,Physics,PHY,Wave Optics,"Physical optics","Students understand wave behavior of light; Students study interference and diffraction; Students learn polarization; Students apply wave concepts",March-April,"ANALYZE,EVALUATE"
XII,SECONDARY,Physics,PHY,Quantum Nature of Radiation,"Modern physics","Students understand photons and photoelectric effect; Students study X-rays; Students learn about radiation properties; Students apply quantum concepts",April-May,"APPLY,ANALYZE"
XII,SECONDARY,Physics,PHY,Structure of Atoms,"Nuclear physics","Students understand atomic models; Students study electron orbits; Students learn about spectra; Students understand transitions",May-June,"APPLY,ANALYZE"
XII,SECONDARY,Chemistry,CHM,Solutions,"Colligative properties","Students understand solution formation; Students study colligative properties; Students calculate concentrations; Students learn osmotic pressure",July-August,"APPLY,ANALYZE"
XII,SECONDARY,Chemistry,CHM,Electrochemistry,"Redox and electricity","Students understand electrochemical cells; Students study electrode potentials; Students learn Nernst equation; Students solve electrochemistry problems",August-September,"APPLY,ANALYZE"
XII,SECONDARY,Chemistry,CHM,Chemical Kinetics,"Reaction rates","Students understand reaction rates; Students study rate equations; Students learn about catalysts; Students understand reaction mechanisms",September-October,"APPLY,ANALYZE"
XII,SECONDARY,Chemistry,CHM,Surface Chemistry,"Colloids and catalysis","Students understand adsorption and absorption; Students study colloids; Students learn about emulsions; Students understand heterogeneous catalysis",October-November,"APPLY,ANALYZE"
XII,SECONDARY,Chemistry,CHM,General Principles,"Extraction of metals","Students understand metal extraction; Students study reduction processes; Students learn refining methods; Students understand environmental impact",November-December,"APPLY,ANALYZE"
XII,SECONDARY,Chemistry,CHM,d-Block Elements,"Transition metals","Students understand d-block chemistry; Students study coordination compounds; Students learn about complexes; Students apply complexation concepts",December-January,"APPLY,ANALYZE"
XII,SECONDARY,Chemistry,CHM,Organic Compounds,"Functional groups","Students understand functional group chemistry; Students study organic reactions; Students learn reaction mechanisms; Students classify organic compounds",January-February,"APPLY,ANALYZE"
XII,SECONDARY,Chemistry,CHM,Haloalkanes and Haloarenes,"Halogen compounds","Students understand halogenation; Students study substitution reactions; Students learn elimination reactions; Students understand reaction conditions",February-March,"APPLY,ANALYZE"
XII,SECONDARY,Chemistry,CHM,Alcohols Phenols and Ethers,"Oxygen compounds","Students understand alcohol chemistry; Students study phenols; Students learn ether properties; Students apply oxidation and reduction",March-April,"APPLY,ANALYZE"
XII,SECONDARY,Chemistry,CHM,Aldehydes Ketones and Carboxylic Acids,"Carbonyl compounds","Students understand carbonyl chemistry; Students study oxidation states; Students learn nucleophilic addition; Students understand acidity",April-May,"APPLY,ANALYZE"
XII,SECONDARY,Chemistry,CHM,Organic Compounds Nitrogen,"Nitrogen compounds","Students understand nitrogen chemistry; Students study amines and amides; Students learn nitrile chemistry; Students understand amino acids",May-June,"APPLY,ANALYZE"
XII,SECONDARY,Biology,BIO,Reproduction in Organisms,"Sexual and asexual","Students understand modes of reproduction; Students study sexual reproduction in animals; Students learn plant reproduction; Students understand reproductive strategies",July-August,"UNDERSTAND,APPLY"
XII,SECONDARY,Biology,BIO,Sexual Reproduction in Flowering Plants,"Flower structure","Students understand flower parts; Students study pollination; Students learn fertilization; Students understand seed and fruit development",August-September,"UNDERSTAND,APPLY,ANALYZE"
XII,SECONDARY,Biology,BIO,Human Reproduction,"Reproductive systems","Students understand male and female reproductive systems; Students study menstrual cycle; Students learn fertilization and implantation; Students understand fetal development",September-October,"UNDERSTAND,APPLY"
XII,SECONDARY,Biology,BIO,Reproductive Health,"Disease and contraception","Students understand reproductive diseases; Students study STIs; Students learn contraceptive methods; Students understand reproductive counseling",October-November,"APPLY,ANALYZE"
XII,SECONDARY,Biology,BIO,Genetics and Evolution,"Inheritance patterns","Students understand Mendelian genetics; Students study inheritance patterns; Students learn chromosomal basis of inheritance; Students understand genetic disorders",November-December,"APPLY,ANALYZE"
XII,SECONDARY,Biology,BIO,Molecular Basis of Inheritance,"DNA and RNA","Students understand DNA structure; Students study genetic code; Students learn replication and transcription; Students understand translation",December-January,"APPLY,ANALYZE"
XII,SECONDARY,Biology,BIO,Evolution,"Natural selection","Students understand evolutionary concepts; Students study mechanisms of evolution; Students learn evidence for evolution; Students understand human evolution",January-February,"ANALYZE,EVALUATE"
XII,SECONDARY,Biology,BIO,Human Health and Diseases,"Immune system","Students understand disease and health; Students study types of diseases; Students learn immune response; Students understand vaccines and immunity",February-March,"UNDERSTAND,APPLY"
XII,SECONDARY,Biology,BIO,Strategies for Enhancement,"Breeding and biotechnology","Students understand plant and animal breeding; Students study biotechnology methods; Students learn genetic engineering; Students understand applications",March-April,"APPLY,ANALYZE"
XII,SECONDARY,Biology,BIO,Microbes in Human Welfare,"Microbiology","Students understand microbial diversity; Students study microbes in industry; Students learn food production; Students understand sanitation",April-May,"APPLY,ANALYZE"
XII,SECONDARY,English,ENG,Literary Appreciation,"Analysis and interpretation","Students analyze complex literary works; Students understand literary movements; Students evaluate artistic choices; Students make critical judgments",July-August,"ANALYZE,EVALUATE"
XII,SECONDARY,English,ENG,Critical Writing,"Essays and arguments","Students write critical essays; Students develop complex arguments; Students analyze counterarguments; Students support with textual evidence",August-September,"ANALYZE,EVALUATE,CREATE"
XII,SECONDARY,History,HIS,Themes in Indian History,"Synthesis and analysis","Students synthesize historical information; Students understand historiography; Students evaluate interpretations; Students analyze primary sources",July-August,"ANALYZE,EVALUATE"
XII,SECONDARY,History,HIS,Early Medieval India,"Feudalism and kingdoms","Students study early medieval polities; Students understand feudalism; Students learn economic systems; Students analyze cultural changes",August-September,"ANALYZE,EVALUATE"
XII,SECONDARY,History,HIS,Later Medieval India,"Mughal and Safavid","Students study Mughal administration; Students understand succession; Students learn about wars of succession; Students evaluate Mughal contributions",September-October,"ANALYZE,EVALUATE"
XII,SECONDARY,History,HIS,Modern India and South Asia,"18th century transitions","Students understand pre-colonial economy; Students study British expansion; Students learn about early resistance; Students evaluate transitions",October-November,"ANALYZE,EVALUATE"
XII,SECONDARY,Geography,GEO,Human Geography,"Populations and societies","Students understand population patterns; Students study cultural geography; Students learn about social organization; Students understand development issues",July-August,"ANALYZE"
XII,SECONDARY,Geography,GEO,Economic Geography,"Production and trade","Students understand economic systems; Students study production patterns; Students learn trade and commerce; Students analyze economic disparities",August-September,"ANALYZE,EVALUATE"
XII,SECONDARY,Geography,GEO,Political Geography,"Geopolitics","Students understand political systems; Students study boundaries and conflicts; Students learn about sovereignty; Students understand geopolitics",September-October,"ANALYZE,EVALUATE"
XII,SECONDARY,Economics,ECO,Microeconomics,"Consumers and producers","Students understand consumer behavior; Students study demand and supply; Students learn market structures; Students analyze price determination",July-August,"APPLY,ANALYZE"
XII,SECONDARY,Economics,ECO,Macroeconomics,"National economy","Students understand national income; Students study aggregate demand and supply; Students learn about inflation; Students analyze monetary and fiscal policy",August-September,"ANALYZE,EVALUATE"
XII,SECONDARY,Economics,ECO,International Economics,"Global trade","Students understand international trade; Students study comparative advantage; Students learn exchange rates; Students understand trade agreements",September-October,"ANALYZE,EVALUATE"
XII,SECONDARY,Political Science,POL,Aspects of Democracy,"Democratic systems","Students understand democracy; Students study democratic institutions; Students learn about participation; Students understand electoral processes",July-August,"UNDERSTAND,APPLY"
XII,SECONDARY,Political Science,POL,Indian Constitution,"Constitutional framework","Students understand Constitution structure; Students study fundamental rights; Students learn about duties; Students understand constitutional amendments",August-September,"UNDERSTAND,APPLY"
XII,SECONDARY,Political Science,POL,Governance and Accountability,"Public administration","Students understand governance; Students study administrative bodies; Students learn about accountability mechanisms; Students understand transparency",September-October,"APPLY,ANALYZE"
